Year,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Afghanistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,8.70,0.70,11.80,5.40,13.30,3.90,20.60,8.40,6.50,14.00,5.70,2.70,1.00,2.20,2.60,1.20,3.90,-5.00,4.00,4.50,4.50,4.00,4.00,4.00
Bahrain,7.50,2.80,6.40,7.00,4.20,-0.90,0.50,-1.20,6.00,1.00,3.50,2.30,7.10,7.60,3.20,1.90,3.20,2.30,4.80,6.00,7.00,2.50,3.30,6.30,7.00,6.80,6.50,8.30,6.20,2.50,4.30,2.00,3.70,5.40,4.40,2.50,3.60,4.30,1.70,2.00,-5.40,3.30,3.10,3.10,3.10,3.10,3.10
Canada,2.20,3.50,-3.20,2.60,5.90,4.70,2.10,4.10,4.40,2.30,0.20,-2.10,0.90,2.70,4.50,2.70,1.60,4.30,3.90,5.20,5.20,1.80,3.00,1.80,3.10,3.20,2.60,2.10,1.00,-2.90,3.10,3.10,1.80,2.30,2.90,0.70,1.00,3.00,2.40,1.90,-5.40,5.00,4.70,2.20,1.40,1.40,1.50
Egypt,3.40,2.20,7.30,8.90,8.00,7.40,4.80,4.30,4.00,3.00,2.30,2.10,0.30,2.90,4.20,4.50,4.90,5.90,7.50,6.10,5.40,3.50,3.20,3.20,4.10,4.50,6.80,7.10,7.20,4.70,5.10,1.80,2.20,3.30,2.90,4.40,4.30,4.10,5.30,5.60,3.60,2.50,5.70,5.60,5.60,5.80,5.80
India,5.30,6.00,3.50,7.30,3.80,5.30,4.80,4.00,9.60,5.90,5.50,1.10,5.50,4.80,6.70,7.60,7.50,4.00,6.20,8.50,4.00,4.90,3.90,7.90,7.80,9.30,9.30,9.80,3.90,8.50,10.30,6.60,5.50,6.40,7.40,8.00,8.30,6.80,6.50,4.00,-8.00,12.50,6.90,6.80,6.70,6.60,6.50
Oman,6.10,17.10,11.50,15.90,13.90,14.50,2.10,-4.00,5.20,3.00,8.40,6.00,8.50,6.10,3.80,4.80,2.90,6.20,2.70,0.30,6.50,4.50,-1.10,-2.70,1.30,2.50,5.40,4.50,8.20,6.10,2.00,2.60,9.10,5.10,1.40,4.70,4.90,0.30,0.90,-0.80,-6.40,1.80,7.40,2.70,2.20,1.70,2.00
Qatar,-1.00,-3.90,-8.20,-5.30,16.00,-13.00,3.70,0.90,4.70,5.30,-14.60,-1.50,10.40,-0.90,1.90,0.40,4.20,27.70,10.30,3.80,6.90,4.50,6.90,4.00,19.20,7.80,28.10,18.20,17.50,13.10,17.70,11.30,4.70,5.60,5.30,4.80,3.10,-1.50,1.20,0.80,-2.60,2.40,3.60,2.20,1.80,2.20,1.90
Saudi Arabia,5.70,1.90,-20.70,-16.10,-4.70,-9.80,17.00,-6.60,13.10,-0.50,15.20,15.00,4.00,-1.40,0.60,0.20,2.60,1.10,2.90,-3.80,5.60,-1.20,-2.80,11.20,8.00,5.60,2.80,1.80,6.20,-2.10,5.00,10.00,5.40,2.70,3.70,4.10,1.70,-0.70,2.40,0.30,-4.10,2.90,4.00,2.80,2.80,2.80,2.80
United Arab Emirates,-1.80,8.00,-7.20,-5.20,4.50,-2.50,-19.30,5.30,-2.60,15.70,23.60,2.10,3.10,0.00,7.40,6.60,5.30,8.60,0.80,3.80,12.30,1.30,2.50,8.80,9.60,4.90,9.80,3.20,3.20,-5.20,1.60,6.90,4.50,5.10,4.30,5.10,3.10,2.40,1.20,1.70,-5.90,3.10,2.60,2.60,2.60,2.60,2.60
United Kingdom,-2.10,-0.70,2.00,4.20,2.20,4.10,3.20,5.40,5.70,2.60,0.70,-1.10,0.40,2.50,3.80,2.50,2.50,5.00,3.70,3.30,3.50,2.70,2.20,3.30,2.30,3.00,2.70,2.40,-0.30,-4.10,2.10,1.30,1.40,2.20,2.90,2.40,1.70,1.70,1.30,1.40,-9.90,5.30,5.10,2.00,1.80,1.50,1.40
United States,-0.30,2.50,-1.80,4.60,7.20,4.20,3.50,3.50,4.20,3.70,1.90,-0.10,3.50,2.80,4.00,2.70,3.80,4.40,4.50,4.80,4.10,1.00,1.70,2.90,3.80,3.50,2.90,1.90,-0.10,-2.50,2.60,1.60,2.20,1.80,2.50,3.10,1.70,2.30,3.00,2.20,-3.50,6.40,3.50,1.40,1.50,1.60,1.60