Year,Afghanistan,Bahrain,Canada,Egypt,India,Oman,Qatar,Saudi Arabia,United Arab Emirates,United Kingdom,United States
2026,-0.29629693346908365,-0.27128982052959,-0.3486324278789305,0.6445352776387647,0.11140066172161736,-0.5308249702891136,-0.3531403997317757,0.09945069384551435,-0.10337805896880527,-0.2283917075629267,-0.4603182641585174
2025,-0.29629693346908365,-0.27128982052959,-0.3942751134229688,0.6445352776387647,0.1451802172113981,-0.5943617451709174,-0.31814897572462153,0.09945069384551435,-0.10337805896880527,-0.1892150277984831,-0.4603182641585174
2024,-0.29629693346908365,-0.27128982052959,-0.3942751134229688,0.5349759356893181,0.17895977270117913,-0.4884671203679109,-0.36480420773416045,0.09945069384551435,-0.10337805896880527,-0.07168498850515227,-0.5105153834519056
2023,-0.19915039790544975,-0.27128982052959,-0.029133629070662515,0.5349759356893181,0.2127393281909599,-0.38257249556490436,-0.31814897572462153,0.09945069384551435,-0.10337805896880527,0.006668371023734916,-0.5607125027452939
2022,-0.19915039790544975,-0.27128982052959,1.1119335095302942,0.5897556066640417,0.24651888368074093,0.6128369775833571,-0.15485566369123535,0.2736438346184029,-0.10337805896880527,1.2211454437214864,0.4934270024158586
2021,-0.29629693346908365,-0.19447884724711575,1.248861566162409,-1.163193864527103,2.138173991108469,-0.5731828202103162,-0.29482135971985207,0.11396678890992173,-0.02372611189447991,1.2994988032503736,1.9491434619241168
2020,-2.044934573614494,-3.535756185034749,-3.4979777304175714,-0.560617483805147,-4.786634884296608,-2.309854666979623,-0.8780117598390883,-0.9021598655985947,-1.4574611592323365,-4.655356520945054,-3.020371348121316
2019,-0.3157262405818105,-0.6937501735831988,-0.16606168570277743,0.5349759356893181,-0.7330882255229042,-1.12383486918595,-0.4814422877580077,-0.26345168276467007,-0.24675156370259094,-0.2283917075629267,-0.15913554839818808
2018,-0.8403175326254335,-0.8089666335069102,0.062151742017413907,0.3706369227651484,0.11140066172161736,-0.7637931448557279,-0.43478705574846876,0.041386313587884846,-0.32640351077691626,-0.26756838732737026,0.2424414059489175
2017,-0.5683072330472586,0.1895760191652559,0.33600785528164356,-0.2867191289315309,0.2127393281909599,-0.8908666946193358,-0.7497098718128563,-0.4086126334087439,-0.13523883779853543,-0.1108616682695959,-0.10893842910480005
2016,-0.6460244614981657,-0.07926238732340415,-0.5768458555991218,-0.17715978698208426,0.7194326605376732,0.08336385356832443,-0.213174703703159,-0.0602263518629668,-0.02372611189447991,-0.1108616682695959,-0.41012114486512924
2015,-0.8791761468508872,-0.501722740377013,-0.7137739122312367,-0.12238011600736069,0.6180939940683303,0.04100600364712177,-0.01488996766261869,0.28815992968281023,0.2948816764028215,0.16337509008150927,0.29263852524230577
2014,-0.5488779259345318,0.22798150580649326,0.29036516973760523,-0.9440751806282099,0.41541666112964526,-0.6578985200527214,0.04342907234930494,0.23009554942518082,0.16743856108390093,0.3592584889037273,-0.008544190518023537
2013,0.03400128744727166,0.6120363722188649,0.016509056473375593,-0.724956496729317,0.07762110623183661,0.12572170348952688,0.07842049635645909,0.08493459878110703,0.2948816764028215,0.08502173055262219,-0.35992402557174097
2012,1.6466337778035944,-0.040856900682166956,-0.21170437124681565,-1.3275328774512727,-0.22639489317619127,0.9728787019135792,-0.026553775665003373,0.4768691655201063,0.19929933991363108,-0.2283917075629267,-0.15913554839818808
2011,0.1894357443490859,-0.6937501735831988,0.3816505408256819,-1.546651561350166,0.1451802172113981,-0.40375142052550567,0.7432575524923886,1.1446095384828456,0.5816286858703928,-0.26756838732737026,-0.4603182641585174
2010,0.5585925794908948,0.1895760191652559,0.3816505408256819,0.26107758081570176,1.3950237703332904,-0.5308249702891136,1.4897412646450108,0.4188047852624767,-0.262681953117456,0.04584505078817855,0.041652928775364716
2009,2.928968047243562,-0.501722740377013,-2.3569105918166144,0.041958896916809006,0.7869917715172347,0.33751095309553997,0.9532060965353135,-0.6118379643104472,-1.345948433328281,-2.3831090946073243,-2.518400155187434
2008,-0.3157262405818105,0.9192802653487622,-0.5768458555991218,1.4114506712848907,-0.7668677810126852,0.7822683772681673,1.4664136486402415,0.5929979260353654,-0.007795722479614825,-0.8943952635584678,-1.313669292146117
2007,1.5106286280145071,1.7257954848147428,-0.07477631461470083,1.3566710003101672,1.2261259928843862,-0.0013518462740808776,1.5480603046569343,-0.04571025679855941,-0.007795722479614825,0.16337509008150927,-0.30972690627835286
2006,-0.02428663389090865,1.0344967252724735,0.15343711310549052,1.1923319873859974,1.0572282154354817,0.18925847837133095,2.7027772968930224,0.09945069384551435,1.04360997890148,0.2809051293748402,0.19224428665552926
2005,1.2191890213236054,1.149713185196185,0.42729322636972017,-0.06760044503263762,1.0572282154354817,-0.42493034548610703,0.3350242724089231,0.5059013556489209,0.26302089757309144,0.3984351686681709,0.4934270024158586
2004,-0.9374640681890675,1.2265241584786595,0.3816505408256819,-0.2867191289315309,0.5505348830887685,-0.6790774450133227,1.6646983846807817,0.854287637194698,1.0117492000717496,0.12419841031706565,0.6440183602960231
2003,0.616880500829075,0.9576857519899992,-0.21170437124681565,-0.77973616770404,0.5843144385785496,-1.526234443437375,-0.10820043168169648,1.3188026792557341,0.8843060847528293,0.5159652079615017,0.19224428665552926
2002,,-0.19447884724711575,0.33600785528164356,-0.77973616770404,-0.7668677810126852,-1.1873716440677542,0.2300500003874606,-0.7134506297612988,-0.11930844838367036,0.08502173055262219,-0.41012114486512924
2001,,-0.501722740377013,-0.21170437124681565,-0.6153971547798703,-0.42907222611487633,-0.0013518462740808776,-0.049881391669772845,-0.48119310873078075,-0.31047312136205124,0.2809051293748402,-0.7615009799188467
2000,,1.2265241584786595,1.3401469372504855,0.42541659373987195,-0.7330882255229042,0.42222665293794526,0.2300500003874606,0.5059013556489209,1.441869714273107,0.5943185674903889,0.7946097181761876
1999,,0.8424692920662877,1.3401469372504855,0.8088742905629345,0.7869917715172347,-0.8908666946193358,-0.13152804768646595,-0.8586115804053726,0.08778661400957555,0.5159652079615017,1.1459895532299051
1998,,0.3816034523714417,0.7467920251779879,1.5757896842090604,0.010061995252274828,-0.38257249556490436,0.6266194724685413,0.11396678890992173,-0.3901250684363766,0.6726719270192761,0.9953981953497406
1997,,-0.5785337136594874,0.929362767354141,0.6993149486134883,-0.7330882255229042,0.3586898780561414,2.6561220648834833,-0.14732292224941104,0.852445305923099,1.1819687639570429,0.9452010760563526
1996,,-0.23288433388835278,-0.3029897423348922,0.15151823886625565,0.449196216619426,-0.3402146456437018,-0.084872815676927,0.07041850371669962,0.32674245523255163,0.2025517698459529,0.6440183602960231
1995,,-0.732155660224436,0.19907979864952882,-0.06760044503263762,0.4829757721092067,0.062184928607723004,-0.5280975197675465,-0.2779677778290775,0.5338375176257976,0.2025517698459529,0.09185004806875297
1994,,-0.23288433388835278,1.0206481384422177,-0.23193945795680734,0.17895977270117913,-0.14960432099829007,-0.3531403997317757,-0.21990339757144794,0.6612806329447183,0.7118486067837196,0.7444125988827996
1993,,1.4569570783260823,0.19907979864952882,-0.9440751806282099,-0.4628517816046574,0.33751095309553997,-0.6797270237985481,-0.5102252988595956,-0.5175681837552971,0.2025517698459529,0.142047167362141
1992,,1.2649296451198964,-0.6224885411431601,-2.368346625971015,-0.22639489317619127,0.8458051521499714,0.638283280470926,0.2736438346184029,-0.02372611189447991,-0.6201585052073627,0.4934270024158586
1991,,-0.5785337136594874,-1.9917691074643082,-1.382312548425996,-1.7126953347265494,0.3163320281349387,-0.7497098718128563,1.8704142917032145,-0.18303000604313063,-1.2078087016740167,-1.313669292146117
1990,,-0.11766787396464136,-0.9419873399514279,-1.2727532064765497,-0.22639489317619127,0.8246262271893702,-2.2776687201252552,1.8994464818320291,3.2420037181528603,-0.5026284659140319,-0.30972690627835286
1989,,-1.0778050399955705,0.016509056473375593,-0.8892955096534866,-0.0912766712170677,-0.3190357206831005,0.04342907234930494,-0.3795804432799291,1.9835029543785192,0.24172844961039655,0.5938212410026351
1988,,0.8424692920662877,0.9750054528981795,-0.341498799906254,1.158566881904824,0.1469006284501283,-0.026553775665003373,1.5946084854794742,-0.9317583085417891,1.4562055223081483,0.8448068374695761
1987,,-1.9227257461027882,0.8380773962660644,-0.17715978698208426,-0.7330882255229042,-1.8015604679251922,-0.4697784797556229,-1.2650622422087792,0.32674245523255163,1.3386754830148175,0.4934270024158586
1986,,-1.2698324732017563,-0.07477631461470083,0.09673856789153208,-0.4628517816046574,-0.5096460453285122,-0.14319185568885062,2.160736192991362,-3.592133340824256,0.4767885281970582,0.4934270024158586
1985,,-1.8075092861790767,1.1119335095302942,1.5210100132343374,-0.29395400415575307,2.1165406497860495,-2.0910477920870996,-1.7295772842698156,-0.915827919126924,0.8293786460770504,0.8448068374695761
1984,,0.15117053252401888,1.6596457360587535,1.8496880390826766,-0.800647336502466,1.9894671000224422,1.2914565286044706,-0.989256435985039,0.19929933991363108,0.08502173055262219,2.3507204162712227
1983,,1.2265241584786595,0.15343711310549052,2.3427050778551863,0.3816371056398642,2.413045599234468,-1.192934575903476,-2.6440912733274806,-1.345948433328281,0.8685553258414942,1.0455953146431287
1982,,0.9960912386312366,-2.493838648448729,1.4662303422596137,-0.9019860029718085,1.4811729009680106,-1.5311850079726328,-3.3118316462902198,-1.6645562216255825,0.006668371023734916,-2.167020320133717
1981,,-0.3865062804533016,0.5642212830018349,-1.3275328774512727,-0.05749711572728696,2.667192698761684,-1.0296412638700898,-0.031194161734152046,0.7568629694339086,-1.0511019826162424,-0.008544190518023537
1980,,1.4185515916848452,-0.029133629070662515,-0.6701768257545936,-0.29395400415575307,0.33751095309553997,-0.6913908318009327,0.5204174507133283,-0.8043151932228685,-1.5995754993184528,-1.4140635307328933
